,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,score_dff (home-away),team_away,team_favorite_id,favor_direction,favor_score_diff,spread_favorite,win_loss,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
10909,10/20/2013,2013,7,FALSE,MIA,21,23,-2,BUF,MIA,Home,2,-6.5,FALSE,44.5,Sun Life Stadium,FALSE,87,5,57,
10910,10/20/2013,2013,7,FALSE,NYJ,30,27,3,NE,NE,Away,3,-3,FALSE,43,MetLife Stadium,FALSE,65,12,36,
10911,10/20/2013,2013,7,FALSE,PHI,3,17,-14,DAL,PHI,Home,14,-2.5,FALSE,55,Lincoln Financial Field,FALSE,62,13,39,
10912,10/20/2013,2013,7,FALSE,PIT,19,16,3,BAL,PIT,Home,-3,-2.5,TRUE,41,Heinz Field,FALSE,57,7,49,
10913,10/20/2013,2013,7,FALSE,TEN,17,31,-14,SF,SF,Away,-14,-3,TRUE,40.5,Nissan Stadium,FALSE,68,4,32,
10914,10/20/2013,2013,7,FALSE,WAS,45,41,4,CHI,CHI,Away,4,-1,FALSE,48,FedEx Field,FALSE,62,8,39,
10915,10/21/2013,2013,7,FALSE,NYG,23,7,16,MIN,NYG,Home,-16,-3.5,TRUE,47,MetLife Stadium,FALSE,57,7,63,
10916,10/24/2013,2013,8,FALSE,TB,13,31,-18,CAR,CAR,Away,-18,-6.5,TRUE,38.5,Raymond James Stadium,FALSE,70,5,53,
10917,10/27/2013,2013,8,FALSE,ARI,27,13,14,ATL,ARI,Home,-14,-3,TRUE,46.5,University of Phoenix Stadium,FALSE,72,0,,indoor
10918,10/27/2013,2013,8,FALSE,CIN,49,9,40,NYJ,CIN,Home,-40,-4.5,TRUE,41.5,Paul Brown Stadium,FALSE,57,3,45,
10919,10/27/2013,2013,8,FALSE,DEN,45,21,24,WAS,DEN,Home,-24,-11,TRUE,58,Sports Authority Field at Mile High,FALSE,69,8,14,
10920,10/27/2013,2013,8,FALSE,DET,31,30,1,DAL,DET,Home,-1,-3,FALSE,50.5,Ford Field,FALSE,72,0,,indoor
10921,10/27/2013,2013,8,FALSE,JAX,10,42,-32,SF,SF,Away,-32,-14.5,TRUE,40,Wembley Stadium,TRUE,73,13,63,
10922,10/27/2013,2013,8,FALSE,KC,23,17,6,CLE,KC,Home,-6,-7,FALSE,39,Arrowhead Stadium,FALSE,61,9,46,
