,schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail
11520,12/6/2015,2015,13,False,BUF,30,21,HOU,BUF,-3.0,42,Ralph Wilson Stadium,False,49.0,4.0,,
11521,12/6/2015,2015,13,False,CHI,20,26,SF,CHI,-6.5,43,Soldier Field,False,46.0,4.0,,
11522,12/6/2015,2015,13,False,CLE,3,37,CIN,CIN,-7.5,44,FirstEnergy Stadium,False,46.0,5.0,,
11523,12/6/2015,2015,13,False,MIA,15,13,BAL,MIA,-3.5,43,Sun Life Stadium,False,78.0,14.0,,
11524,12/6/2015,2015,13,False,MIN,7,38,SEA,SEA,-2.5,43,TCF Bank Stadium,False,36.0,3.0,,
11525,12/6/2015,2015,13,False,NE,28,35,PHI,NE,-9.5,49,Gillette Stadium,False,44.0,5.0,,
11526,12/6/2015,2015,13,False,NO,38,41,CAR,CAR,-6.0,50.5,Louisiana Superdome,False,72.0,0.0,,indoor
11527,12/6/2015,2015,13,False,NYG,20,23,NYJ,NYJ,-2.5,46,MetLife Stadium,False,52.0,5.0,,
11528,12/6/2015,2015,13,False,LVR,20,34,KC,KC,-3.0,45.5,Oakland Coliseum,False,60.0,3.0,,
11529,12/6/2015,2015,13,False,PIT,45,10,IND,PIT,-9.5,50.5,Heinz Field,False,35.0,2.0,,
11530,12/6/2015,2015,13,False,LAC,3,17,DEN,DEN,-6.0,45,Qualcomm Stadium,False,71.0,7.0,,
11531,12/6/2015,2015,13,False,LAR,3,27,ARI,ARI,-3.5,43,Edward Jones Dome,False,72.0,0.0,,indoor
11532,12/6/2015,2015,13,False,TB,23,19,ATL,PICK,0.0,46.5,Raymond James Stadium,False,78.0,11.0,,
11533,12/6/2015,2015,13,False,TEN,42,39,JAX,TEN,-3.0,43.5,Nissan Stadium,False,56.0,4.0,,
11534,12/7/2015,2015,13,False,WAS,16,19,DAL,WAS,-2.0,43.5,FedEx Field,False,44.0,2.0,,
11535,12/10/2015,2015,14,False,ARI,23,20,MIN,ARI,-10.0,46.5,University of Phoenix Stadium,False,72.0,0.0,,indoor
11536,12/13/2015,2015,14,False,BAL,6,35,SEA,SEA,-10.5,42,M&T Bank Stadium,False,66.0,3.0,,
11537,12/13/2015,2015,14,False,CAR,38,0,ATL,CAR,-8.5,45.5,Bank of America Stadium,False,70.0,6.0,,
11538,12/13/2015,2015,14,False,CHI,21,24,WAS,CHI,-4.0,43.5,Soldier Field,False,58.0,11.0,,
11539,12/13/2015,2015,14,False,CIN,20,33,PIT,CIN,-1.0,48.5,Paul Brown Stadium,False,65.0,6.0,,
11540,12/13/2015,2015,14,False,CLE,24,10,SF,CLE,-2.5,43,FirstEnergy Stadium,False,62.0,8.0,,
11541,12/13/2015,2015,14,False,DEN,12,15,LVR,DEN,-6.0,43,Sports Authority Field at Mile High,False,39.0,2.0,,
11542,12/13/2015,2015,14,False,GB,28,7,DAL,GB,-6.5,42.5,Lambeau Field,False,52.0,9.0,,rain
11543,12/13/2015,2015,14,False,HOU,6,27,NE,NE,-5.0,46.5,Reliant Stadium,False,52.0,3.0,,retractable (open roof)
11544,12/13/2015,2015,14,False,JAX,51,16,IND,JAX,-1.0,46,EverBank Field,False,77.0,8.0,,
11545,12/13/2015,2015,14,False,KC,10,3,LAC,KC,-12.0,41.5,Arrowhead Stadium,False,60.0,11.0,,rain
11546,12/13/2015,2015,14,False,NYJ,30,8,TEN,NYJ,-8.0,43,MetLife Stadium,False,65.0,4.0,,
11547,12/13/2015,2015,14,False,PHI,23,20,BUF,PHI,-1.0,48.5,Lincoln Financial Field,False,69.0,1.0,,
11548,12/13/2015,2015,14,False,LAR,21,14,DET,DET,-3.0,41.5,Edward Jones Dome,False,72.0,0.0,,indoor
11549,12/13/2015,2015,14,False,TB,17,24,NO,TB,-6.0,51.5,Raymond James Stadium,False,80.0,12.0,,
11550,12/14/2015,2015,14,False,MIA,24,31,NYG,NYG,-2.0,48,Sun Life Stadium,False,75.0,5.0,,
11551,12/17/2015,2015,15,False,LAR,31,23,TB,LAR,-1.0,41,Edward Jones Dome,False,72.0,0.0,,indoor
11552,12/19/2015,2015,15,False,DAL,16,19,NYJ,NYJ,-3.5,41,Cowboys Stadium,False,50.0,7.0,,retractable (open roof)
11553,12/20/2015,2015,15,False,BAL,14,34,KC,KC,-6.5,41,M&T Bank Stadium,False,43.0,3.0,,
11554,12/20/2015,2015,15,False,IND,10,16,HOU,IND,-2.0,41.5,Lucas Oil Stadium,False,72.0,0.0,,indoor
11555,12/20/2015,2015,15,False,JAX,17,23,ATL,JAX,-2.0,48,EverBank Field,False,68.0,7.0,,
11556,12/20/2015,2015,15,False,MIN,38,17,CHI,MIN,-4.0,44,TCF Bank Stadium,False,36.0,3.0,,
11557,12/20/2015,2015,15,False,NE,33,16,TEN,NE,-14.5,48,Gillette Stadium,False,39.0,5.0,,
11558,12/20/2015,2015,15,False,NYG,35,38,CAR,CAR,-5.0,46.5,MetLife Stadium,False,41.0,4.0,,
11559,12/20/2015,2015,15,False,LVR,20,30,GB,GB,-4.0,47,Oakland Coliseum,False,51.0,10.0,,
11560,12/20/2015,2015,15,False,PHI,17,40,ARI,ARI,-4.0,51.5,Lincoln Financial Field,False,34.0,3.0,,
11561,12/20/2015,2015,15,False,PIT,34,27,DEN,PIT,-7.5,45.5,Heinz Field,False,36.0,3.0,,
