,schedule_season,schedule_week,team_home,score_home,score_away,team_away,team_favorite_id,favorite_win,home_win
332,2014,5,DET,14,17,BUF,DET,0,0
333,2014,5,IND,20,13,BAL,IND,1,1
334,2014,5,JAX,9,17,PIT,PIT,1,0
335,2014,5,NE,43,17,CIN,CIN,0,1
336,2014,5,NO,37,31,TB,NO,1,1
337,2014,5,NYG,30,20,ATL,NYG,1,1
338,2014,5,PHI,34,28,LAR,PHI,1,1
339,2014,5,LAC,31,0,NYJ,LAC,1,1
340,2014,5,SF,22,17,KC,SF,1,1
341,2014,5,TEN,28,29,CLE,CLE,1,0
342,2014,5,WAS,17,27,SEA,SEA,1,0
343,2014,6,HOU,28,33,IND,IND,1,0
344,2014,6,ARI,30,20,WAS,ARI,1,1
345,2014,6,ATL,13,27,CHI,ATL,0,0
346,2014,6,BUF,22,37,NE,BUF,0,0
347,2014,6,CIN,37,37,CAR,CIN,0,0
348,2014,6,CLE,31,10,PIT,CLE,1,1
349,2014,6,MIA,24,27,GB,GB,1,0
350,2014,6,MIN,3,17,DET,MIN,0,0
351,2014,6,NYJ,17,31,DEN,DEN,1,0
352,2014,6,LVR,28,31,LAC,LAC,1,0
353,2014,6,PHI,27,0,NYG,PHI,1,1
354,2014,6,SEA,23,30,DAL,SEA,0,0
355,2014,6,TB,17,48,BAL,BAL,1,0
356,2014,6,TEN,16,14,JAX,TEN,1,1
357,2014,6,LAR,17,31,SF,SF,1,0
358,2014,7,NE,27,25,NYJ,NE,1,1
359,2014,7,BAL,29,7,ATL,BAL,1,1
360,2014,7,BUF,17,16,MIN,BUF,1,1
361,2014,7,CHI,14,27,MIA,CHI,0,0
362,2014,7,DAL,31,21,NYG,DAL,1,1
363,2014,7,DEN,42,17,SF,DEN,1,1
364,2014,7,DET,24,23,NO,DET,1,1
365,2014,7,GB,38,17,CAR,GB,1,1
366,2014,7,IND,27,0,CIN,IND,1,1
367,2014,7,JAX,24,6,CLE,CLE,0,1
